,metanetx.chemical
phpyr_c,metanetx.chemical:MNXM116962
pcEC_c,metanetx.chemical:MNXM93806
4r5au_c,metanetx.chemical:MNXM791
2mahmp_c,metanetx.chemical:MNXM1135
4ppan_c,metanetx.chemical:MNXM415
ppap_c,metanetx.chemical:MNXM1499
4ppcys_c,metanetx.chemical:MNXM483
pan4p_c,metanetx.chemical:MNXM37051
r1p_c,metanetx.chemical:MNXM295
34hpp_c,metanetx.chemical:MNXM153
pppn_c,metanetx.chemical:MNXM1403
uaagmda_c,metanetx.chemical:MNXM722781
peptidoEC_c,metanetx.chemical:MNXM4770
fpram_c,metanetx.chemical:MNXM568
prbamp_c,metanetx.chemical:MNXM1515
prfp_c,metanetx.chemical:MNXM1397
skm5p_c,metanetx.chemical:MNXM1265
psEC_c,metanetx.chemical:MNXM221
pser-L_c,metanetx.chemical:MNXM379
pydx_c,metanetx.chemical:MNXM311
ribflv_c,metanetx.chemical:MNXM270
dmlz_c,metanetx.chemical:MNXM1313
rib-D_c,metanetx.chemical:MNXM242
ru5p-L_c,metanetx.chemical:MNXM901
xu5p-D_c,metanetx.chemical:MNXM186
rmn_c,metanetx.chemical:MNXM1151
rml_c,metanetx.chemical:MNXM1750
rml1p_c,metanetx.chemical:MNXM1675
s7p_c,metanetx.chemical:MNXM271
sucorn_c,metanetx.chemical:MNXM1152
so4_c,metanetx.chemical:MNXM58
sbt6p_c,metanetx.chemical:MNXM393
sl26da_c,metanetx.chemical:MNXM1488
sl2a6o_c,metanetx.chemical:MNXM1563
seln_c,metanetx.chemical:MNXM926
selnp_c,metanetx.chemical:MNXM1339
ser-D_c,metanetx.chemical:MNXM694
sucglu_c,metanetx.chemical:MNXM1757
sucgsa_c,metanetx.chemical:MNXM1763
2shchc_c,metanetx.chemical:MNXM1249
scl_c,metanetx.chemical:MNXM863
srch_c,metanetx.chemical:MNXM12943
sheme_c,metanetx.chemical:MNXM1594
skm_c,metanetx.chemical:MNXM602
N1aspmd_c,metanetx.chemical:MNXM501
n8aspmd_c,metanetx.chemical:MNXM1679
o2s_c,metanetx.chemical:MNXM330
sucbz_c,metanetx.chemical:MNXM1212
tartr-L_c,metanetx.chemical:MNXM816
taur_c,metanetx.chemical:MNXM282
aacald_c,metanetx.chemical:MNXM2212
dtdp4addg_c,metanetx.chemical:MNXM114266
dtdp4d6dg_c,metanetx.chemical:MNXM451
dtdp4d6dm_c,metanetx.chemical:MNXM2371
dtdprmn_c,metanetx.chemical:MNXM51657
thr-L_c,metanetx.chemical:MNXM142
tyr-L_c,metanetx.chemical:MNXM76
4hba_c,metanetx.chemical:MNXM3499
tmao_c,metanetx.chemical:MNXM437
tma_c,metanetx.chemical:MNXM352
thym_c,metanetx.chemical:MNXM386
thm_c,metanetx.chemical:MNXM322
thmmp_c,metanetx.chemical:MNXM662
tre6p_c,metanetx.chemical:MNXM448
